trade_date,open,high,low,close,volume
2022-04-12,6019.6735,6135.5702,5964.3887,6126.9065,17318018800.0000
2022-04-13,6094.6845,6129.6592,6039.9234,6044.3263,16704306000.0000
2022-04-14,6074.1342,6156.4962,6060.6813,6126.4902,15903310600.0000
2022-04-15,6094.1219,6122.2895,6048.1602,6070.7489,18462700000.0000
2022-04-18,6019.5305,6094.6714,5975.4455,6074.0069,14918638000.0000
2022-04-19,6067.4795,6106.9313,6052.0964,6092.3963,14199753400.0000
2022-04-20,6082.8122,6093.7827,5942.0045,5956.9208,15105560300.0000
2022-04-21,5933.7886,5971.1943,5742.4182,5759.8013,15785450500.0000
2022-04-22,5728.1930,5794.3351,5667.3384,5740.9844,13999759800.0000
2022-04-25,5656.3939,5656.3939,5369.7171,5369.7171,18675348000.0000
2022-04-26,5374.2548,5434.7038,5225.2065,5234.0059,17129943300.0000
